time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-02T05:29:39.830Z,36.2436667,-89.5278333,7.74,1.51,md,11,78,0.01835,0.04,nm,nm60207631,2017-10-02T13:10:12.710Z,"4km WSW of Ridgely, Tennessee",earthquake,0.32,0.49,0.07,6,reviewed,nm,nm
2017-10-02T05:24:53.862Z,37.0864,-117.0491,8.3,0.5,ml,7,264.13,0.107,0.1687,nn,nn00607889,2017-10-02T18:49:54.993Z,"32km NW of Beatty, Nevada",earthquake,,3.4,0.73,4,reviewed,nn,nn
2017-10-02T05:15:46.217Z,37.0814,-117.0518,8.8,1,ml,11,254.59,0.102,0.1488,nn,nn00607885,2017-10-02T18:46:18.634Z,"32km NW of Beatty, Nevada",earthquake,,2.6,0.43,8,reviewed,nn,nn
2017-10-02T05:14:56.080Z,33.2793333,-116.2223333,9.64,0.92,ml,26,135,0.09039,0.23,ci,ci38016624,2017-10-02T12:25:12.947Z,"14km E of Borrego Springs, CA",earthquake,0.52,1.08,0.109,21,reviewed,ci,ci
2017-10-02T05:13:25.270Z,38.1132,72.4324,115.18,4.8,mb,,94,1.773,1.13,us,us2000axpv,2017-10-02T05:27:20.040Z,"90km ESE of Vanj, Tajikistan",earthquake,5,9.3,0.094,35,reviewed,us,us
2017-10-02T05:12:57.530Z,33.5193333,-116.5545,13.39,0.69,ml,29,77,0.04283,0.22,ci,ci38016616,2017-10-02T05:16:32.409Z,"12km ESE of Anza, CA",earthquake,0.35,0.57,0.12,21,automatic,ci,ci
2017-10-02T05:02:11.510Z,33.4908333,-116.8091667,2.02,0.21,ml,17,76,0.09558,0.24,ci,ci38016608,2017-10-02T05:05:42.982Z,"7km NE of Aguanga, CA",earthquake,0.54,0.95,0.043,6,automatic,ci,ci
2017-10-02T04:52:25.331Z,66.5767,-147.5212,2.8,1.4,ml,,,,0.4,ak,ak16983007,2017-10-02T04:59:07.990Z,"99km W of Fort Yukon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-02T04:48:05.230Z,35.9681664,-120.5246658,10.48,1.94,md,32,87,0.02446,0.04,nc,nc72902986,2017-10-02T05:42:02.636Z,"24km SW of Coalinga, California",earthquake,0.26,0.35,0.16,19,automatic,nc,nc
2017-10-02T04:46:44.410Z,36.9048,-97.5118,4.52,2.2,mb_lg,,30,0.111,0.23,us,us2000axpm,2017-10-02T05:26:53.940Z,"16km SSE of Caldwell, Kansas",earthquake,0.8,4.9,0.154,11,reviewed,us,us
2017-10-02T04:43:07.470Z,38.8153343,-122.7925034,3.41,0.75,md,9,91,0.007674,0.01,nc,nc72902981,2017-10-02T05:14:03.564Z,"5km NW of The Geysers, California",earthquake,0.51,1.01,0.16,2,automatic,nc,nc
2017-10-02T04:38:42.990Z,46.3451667,-122.2451667,8.35,1.29,ml,21,155,0.02025,0.16,uw,uw61336446,2017-10-02T04:53:13.390Z,"23km S of Morton, Washington",earthquake,0.64,0.69,0.156,16,reviewed,uw,uw
2017-10-02T04:35:17.513Z,37.0828,-117.0447,7.6,0.9,ml,21,104.56,0.103,0.1796,nn,nn00607845,2017-10-02T15:17:36.998Z,"31km NW of Beatty, Nevada",earthquake,,1.7,0.47,9,reviewed,nn,nn
2017-10-02T04:29:15.700Z,33.5003333,-116.796,4.76,2.31,ml,78,29,0.08134,0.23,ci,ci38016584,2017-10-02T11:56:13.166Z,"9km NE of Aguanga, CA",earthquake,0.18,1.1,0.135,25,automatic,ci,ci
2017-10-02T04:22:21.807Z,40.0969,-119.6718,8.9,0.5,ml,9,238.67,0.445,0.1071,nn,nn00607882,2017-10-02T18:39:47.439Z,"49km N of Spanish Springs, Nevada",earthquake,,4.9,0.12,3,reviewed,nn,nn
2017-10-02T04:18:29.492Z,39.4684,-119.8045,8.7,0.2,ml,7,141.3,0.084,0.0992,nn,nn00607879,2017-10-02T18:33:25.885Z,"6km S of Reno, Nevada",earthquake,,2.8,0.17,2,reviewed,nn,nn
